candidate_id,use_rsi,rsi_period,rsi_buy_threshold,rsi_sell_threshold,signal_logic,final_value,total_return,sharpe,sortino,max_drawdown,num_trades,avg_trade,avg_duration,win_rate,profit_factor,trade_day_ratio,constraint_violations,composite_score
94,True,16,30,70,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
95,True,16,30,72,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
96,True,16,30,74,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
97,True,16,31,60,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
98,True,16,31,62,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
99,True,16,31,64,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
100,True,16,31,66,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
101,True,16,31,68,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
102,True,16,31,70,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
103,True,16,31,72,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
104,True,16,31,74,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
105,True,16,32,60,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
106,True,16,32,62,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
107,True,16,32,64,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
108,True,16,32,66,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
109,True,16,32,68,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
110,True,16,32,70,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
111,True,16,32,72,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
112,True,16,32,74,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
113,True,16,33,60,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
114,True,16,33,62,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
115,True,16,33,64,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
116,True,16,33,66,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
117,True,16,33,68,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
118,True,16,33,70,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
119,True,16,33,72,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
120,True,16,33,74,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
121,True,16,34,60,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
122,True,16,34,62,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
123,True,16,34,64,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
124,True,16,34,66,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
125,True,16,34,68,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
126,True,16,34,70,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
127,True,16,34,72,rsi_only,6.0,-0.9993967909277356,-0.18476077074133143,,-0.9994327635758583,1,668.8000000000009,6.0,1.0,inf,0.0009228938312032869,"['max_dd_constraint', 'trade_day_ratio']",
